step,starting_modules,modules,move_type,energy,mc_outcome
1,YOYO2YOYOYO3Y2O3YOYOYOYO2YOYO2YO2YOYO2YOYOYOYO2YO2YO2YOY3O2YO2YO3YO2YO2YO2YO,YOYO2YOYOYO3Y2O3YOYOYOYO2YOYO2YO2YOYO2YOYOYOYO2YO2YO2YOY3O2YO2YO3YO2YO2YO2YO,1,1.25e+18,cR
2,YOYO2YOYOYO3Y2O3YOYOYOYO2YOYO2YO2YOYO2YOYOYOYO2YO2YO2YOY3O2YO2YO3YO2YO2YO2YO,YO2YO2YOYOYO3Y2O3YOYOYOYO2YOYO2YO2YOYO2YOYOYOYOYO2YO2YOY3O2YO2YO3YO2YO2YO2YO,1,1.25e+18,cR
3,YOYO2YOYOYO3Y2O3YOYOYOYO2YOYO2YO2YOYO2YOYOYOYO2YO2YO2YOY3O2YO2YO3YO2YO2YO2YO,YOYO2,6,2e+19,cR
4,YOYO2YOYOYO3Y2O3YOYOYOYO2YOYO2YO2YOYO2YOYOYOYO2YO2YO2YOY3O2YO2YO3YO2YO2YO2YO,YO2YO2Y2O2,6,1e+19,cR
5,YOYO2YOYOYO3Y2O3YOYOYOYO2YOYO2YO2YOYO2YOYOYOYO2YO2YO2YOY3O2YO2YO3YO2YO2YO2YO,YOYO2,7,2e+19,cR
6,YOYO2YOYOYO3Y2O3YOYOYOYO2YOYO2YO2YOYO2YOYOYOYO2YO2YO2YOY3O2YO2YO3YO2YO2YO2YO,YOY2OYO2YOYOYO2YO3Y2O4YO2YO2YOYO2YO2YO3YOYOY3OYO3YO2YO2YO6YOY6O4,10,1.25e+18,cR
7,YOYO2YOYOYO3Y2O3YOYOYOYO2YOYO2YO2YOYO2YOYOYOYO2YO2YO2YOY3O2YO2YO3YO2YO2YO2YO,YOYO2YO2YO2YO3YO2YO2Y3OYO2YO2YO2YOYOYOYO2YOYO2YO2YOYO2YOYOYOYO3Y2O3YOYOYO2YO,2,1.25e+18,cR
8,YOYO2YOYOYO3Y2O3YOYOYOYO2YOYO2YO2YOYO2YOYOYOYO2YO2YO2YOY3O2YO2YO3YO2YO2YO2YO,YOYO2,7,2e+19,cR
