step,starting_modules,modules,move_type,energy,mc_outcome
24,YOYO2YO3YO2YO3YO3YOYO2YOYOYOYO2YO2Y2O2YOY2OY3O2YO2YO2YO2YO3YO3YOYOY2O,YOY2OYOYO4YO4YO2YO2YO2Y3OY2OYO2Y2O2YO2YOYOYOYO2YO3YO2YO2YO2YO2YOYO2YO,2,1.3333333333333332e+18,cR
25,YOYO2YO3YO2YO3YO3YOYO2YOYOYOYO2YO2Y2O2YOY2OY3O2YO2YO2YO2YO3YO3YOYOY2O,Y3O2YOYOY2OY2O3YO4Y3O2Y2OYO5YO8YO2Y4O2Y4O2YOYOYO3YO6,10,1.3333333333333332e+18,cR
26,YOYO2YO3YO2YO3YO3YOYO2YOYOYOYO2YO2Y2O2YOY2OY3O2YO2YO2YO2YO3YO3YOYOY2O,YOYO2YOYO4YO2YO2YO2YO2YO2Y3OY2OYO2Y2O2YO2YOYOYOYO2YO3YO2YO2YO2YOYOYO2YO,4,1.3333333333333332e+18,cR
27,YOYO2YO3YO2YO3YO3YOYO2YOYOYOYO2YO2Y2O2YOY2OY3O2YO2YO2YO2YO3YO3YOYOY2O,YOY2OYOYO4YO2YO2YO2YO2Y3OY2OYO2Y2O2YO2YOYOYOYO2YO3YO2YO2YO2YO4YOYO2YO,4,1.3333333333333332e+18,cR
28,YOYO2YO3YO2YO3YO3YOYO2YOYOYOYO2YO2Y2O2YOY2OY3O2YO2YO2YO2YO3YO3YOYOY2O,YO2YO,7,2e+19,cR
29,YOYO2YO3YO2YO3YO3YOYO2YOYOYOYO2YO2Y2O2YOY2OY3O2YO2YO2YO2YO3YO3YOYOY2O,YOYO2YO3YO2YO3YO3YOYO2YOYOYOYO2YO2Y2O2YO2Y2OY3O2YO2YO2YOYO3YO3YOYOY2O,1,1.3333333333333332e+18,cR
30,YOYO2YO3YO2YO3YO3YOYO2YOYOYOYO2YO2Y2O2YOY2OY3O2YO2YO2YO2YO3YO3YOYOY2O,YO2Y2OYOYO4YO2YO2YO2YO2YOY3OY2OYO2Y2O2YO2YOYOYOYO2YO3YO2YO2YO4YOYO2YO,4,1.3333333333333332e+18,cR
31,YOYO2YO3YO2YO3YO3YOYO2YOYOYOYO2YO2Y2O2YOY2OY3O2YO2YO2YO2YO3YO3YOYOY2O,YOY2OYOYO4YO2YO2YO2YO2YO2Y3OY2OYO2Y2O2YO2YOYOYOYO2YO3YO2YO2YO3YO2YO2YO,2,1.3333333333333332e+18,cR
32,YOYO2YO3YO2YO3YO3YOYO2YOYOYOYO2YO2Y2O2YOY2OY3O2YO2YO2YO2YO3YO3YOYOY2O,YOY2OYOYO4YO2YO2YO2YO2YO2Y3OY2O2YO2Y2O2YO2YOYOYOYO2YO3YO2YO2YO4YOYOYO,2,1.3333333333333332e+18,cR
33,YOYO2YO3YO2YO3YO3YOYO2YOYOYOYO2YO2Y2O2YOY2OY3O2YO2YO2YO2YO3YO3YOYOY2O,YO2YO,6,2e+19,cR
