step,starting_modules,modules,move_type,energy,mc_outcome
1,YO3YO2YOYOYOYOY2O3YOYOY2O2YO2YO2YO2YOYOYO2Y2OYO3Y2O2YO2YOYOYO3YO3YO2YO2Y2O2,OYOY2O2YO2YO3YO3YOYOYO2YO2Y2O3YOYOYOYOYOYO2YO2YO2YO2Y2OYOYO4Y2O2YO3Y2OYOYO,4,1.25e+18,cR
2,YO3YO2YOYOYOYOY2O3YOYOY2O2YO2YO2YO2YOYOYO2Y2OYO3Y2O2YO2YOYOYO3YO3YO2YO2Y2O2,OYOY2O2YO2YO3YO3YOYOYO2YO2Y2O3YOYOYOYOYO2YO2YO2YO2Y2OYOYOYO3Y2OYOYO2Y2O2YO3,2,1.25e+18,cR
3,YO3YO2YOYOYOYOY2O3YOYOY2O2YO2YO2YO2YOYOYO2Y2OYO3Y2O2YO2YOYOYO3YO3YO2YO2Y2O2,O3YO2Y3OYOYOY3O4Y2OYOY3O2YO4YO3YOYOYOY2O4YO4Y2O2YO3YO3YO2YO2Y2OYO,9,1.25e+18,cR
4,YO3YO2YOYOYOYOY2O3YOYOY2O2YO2YO2YO2YOYOYO2Y2OYO3Y2O2YO2YOYOYO3YO3YO2YO2Y2O2,YO3YO2YO2YOY2OY2O3YOYOY2O2YO2YO2YO2YOYOYO2Y2OYO3Y2O2YO2YOYOYO3YO3YO2YO2Y2O2,1,1.25e+18,cR
